ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype
ENSMUSG00000096773,354.290064415201,5.1273438663411195,0.29537960197733387,3.909670325129612e-68,7.654352562538754e-64,Olfr675,protein_coding
ENSMUSG00000066748,1049.4082108267442,4.603567181579084,0.33354675308280957,7.512948653885373e-44,7.354425437288392e-40,Olfr145,protein_coding
ENSMUSG00000046678,380.5835647498019,3.1922172779942164,0.24144947935514985,3.762861403530697e-40,2.455643351944133e-36,Olfr981,protein_coding
ENSMUSG00000058515,135.14677487354638,5.090897572531261,0.3890936418001411,9.453881107181038e-40,4.627202107909759e-36,Olfr933,protein_coding
ENSMUSG00000073947,377.38881632896937,4.911074244060194,0.40492887630024843,1.9152963906383028e-34,7.499534547183338e-31,Olfr615,protein_coding
ENSMUSG00000094531,134.99075694076723,4.579302668138045,0.3925259966286358,5.779640931398893e-32,1.885896835915459e-28,Olfr671,protein_coding
ENSMUSG00000109449,450.75366217729106,-9.144224626598763,0.8068166116580985,1.6990775032352505e-31,4.75207705119139e-28,Olfr1280,protein_coding
ENSMUSG00000078624,158.4380482352916,6.986794550970575,0.611816310904549,2.5110978117337565e-31,6.145284119765435e-28,Olfr613,protein_coding
ENSMUSG00000044985,152.40744243698276,-6.5780875518075925,0.6161395979964911,1.2581627154314525e-27,2.73692329363522e-24,Olfr124,protein_coding
ENSMUSG00000085019,452.52257220165336,-3.702481551340526,0.3431275239703756,1.7645434315525874e-27,3.454623130293656e-24,Pard3bos2,lncRNA
ENSMUSG00000075197,158.06390300351953,6.555698647204286,0.6175657865949271,2.4511791588471633e-27,4.362653233809978e-24,Olfr1046,protein_coding
ENSMUSG00000053815,110.77767160891243,4.24036102723413,0.40526443327968165,4.591980546692294e-26,7.491816261928478e-23,Olfr744,protein_coding
ENSMUSG00000050853,231.0099361241002,4.484898797690314,0.4317667601192937,9.02219098892219e-26,1.3587419629316818e-22,Olfr958,protein_coding
ENSMUSG00000028565,1322.520120880807,-2.932461527608012,0.2819364839937397,1.5132388802709222e-25,2.1161564855674366e-22,Nfia,protein_coding
ENSMUSG00000046150,87.27555185490087,5.635640986142844,0.5577874626651851,8.93612524545268e-25,1.1663430670364837e-21,Olfr918,protein_coding
ENSMUSG00000079056,300.7768647155274,-1.8131546440448214,0.1782345815234826,1.9201941908661058e-24,2.329899047344761e-21,Kcnip3,protein_coding
ENSMUSG00000073937,530.7589465261926,6.969617695742132,0.7013978020007633,2.1421076132498568e-24,2.329899047344761e-21,Olfr633,protein_coding
ENSMUSG00000063116,186.07135059618247,4.474650398096131,0.4437915365168091,2.1058325324239662e-24,2.329899047344761e-21,Olfr410,protein_coding
ENSMUSG00000094063,152.89238413471364,5.121049221210502,0.5166619121238498,8.340143841398372e-24,8.593859796152492e-21,Olfr638,protein_coding
ENSMUSG00000070821,153.43805391672916,5.081202603669261,0.514238695611307,1.1599210633522415e-23,1.1354467289155092e-20,Olfr1340,protein_coding
ENSMUSG00000108674,125.44693299117684,-6.3679652728966625,0.6580270517919401,4.040309720950018e-23,3.7667230341314026e-20,Olfr1359,protein_coding
ENSMUSG00000050085,377.9271635013567,5.396655585233705,0.5577214380235863,7.311706340094074e-23,6.506753942107353e-20,Olfr622,protein_coding
ENSMUSG00000094520,590.5048242344815,5.203047086205505,0.5401091941775908,1.2420506268650232e-22,1.057255094467975e-19,Olfr635,protein_coding
ENSMUSG00000054141,519.396206801973,3.509746441532158,0.36255916327803617,1.821941579131895e-22,1.4862488431768433e-19,Olfr24,protein_coding
ENSMUSG00000059397,136.3782639732358,6.623131052127123,0.6979067303313244,2.112516510531578e-22,1.6543539297274894e-19,Olfr54,protein_coding
ENSMUSG00000059366,450.36833702345035,4.740835650779815,0.49810791738752297,4.910218970354667e-22,3.6973948846770643e-19,Olfr959,protein_coding
ENSMUSG00000045150,110.23173751941088,4.5919589664329905,0.48258676448280247,5.437574583931174e-22,3.9428457483038713e-19,Olfr1161,protein_coding
ENSMUSG00000025969,8824.955752703572,-2.229534010937165,0.2326328929123279,6.761354518322689e-22,4.5646137503352285e-19,Nrp2,protein_coding
ENSMUSG00000050788,361.52856484304357,3.3760964109171856,0.35347574424034395,6.75086226585237e-22,4.5646137503352285e-19,Olfr419,protein_coding
ENSMUSG00000070820,87.28383581435311,4.373783609852299,0.46348939032456576,1.2920079063031767e-21,8.431643596534532e-19,Olfr1339,protein_coding
ENSMUSG00000029570,183.86535530170883,2.8382528855667104,0.2990260811557285,1.4428621035931598e-21,9.112372343273188e-19,Lfng,protein_coding
ENSMUSG00000069170,193.12752307824172,3.9789325950481476,0.42347558523607176,2.305648924739179e-21,1.4106248327669889e-18,Adgrv1,protein_coding
ENSMUSG00000050266,361.70169299821134,5.558410069003867,0.601591604066989,4.31143520028386e-21,2.5578569197320427e-18,Olfr690,protein_coding
ENSMUSG00000040420,1097.625579247327,-3.0189192805096923,0.32291557201297344,5.301556939962316e-21,3.0527612285465364e-18,Cdh18,protein_coding
ENSMUSG00000063230,87.162976059483,-4.550094528666496,0.4940131664496279,9.942599116062644e-21,5.5616058712649845e-18,Olfr535,protein_coding
ENSMUSG00000044042,409.90795892181507,-2.744135682849036,0.29761637974649624,1.9285897537436115e-20,1.0488313944109008e-17,Fmn1,protein_coding
ENSMUSG00000022054,134.5814133672598,-3.0521559214903884,0.3315496661497015,2.0087457757450054e-20,1.0628979675009653e-17,Nefm,protein_coding
ENSMUSG00000050023,444.88479525928267,4.884894042465812,0.5419266241591957,5.0786702304420363e-20,2.6165843624103733e-17,Olfr1176,protein_coding
ENSMUSG00000107822,140.30574780546115,4.683392013540732,0.5208345494178281,6.912684807835933e-20,3.470167773533638e-17,Olfr1358,protein_coding
ENSMUSG00000062757,313.21375961809645,-9.20532573894304,1.0699386375651567,1.172951328435435e-19,5.741010277027237e-17,Olfr1206,protein_coding
ENSMUSG00000044824,182.97296905697462,4.385683182151684,0.4901560765109412,1.2096829627932108e-19,5.776383669650118e-17,Olfr545,protein_coding
ENSMUSG00000054938,323.0622443932082,-6.809066453621662,0.7756005466153955,1.3196890475637475e-19,6.151636231715012e-17,Olfr1346,protein_coding
ENSMUSG00000051528,218.42169430807036,5.879462578971841,0.6674858476949876,1.8136528346870402e-19,8.257603534302993e-17,Olfr424,protein_coding
ENSMUSG00000031112,433.0043889359489,-2.166772832153325,0.2424518922265973,2.903747294218475e-19,1.2920355574138478e-16,Stk26,protein_coding
ENSMUSG00000003848,491.2652163585377,2.0767600836699365,0.2332982630543948,4.0115797825331944e-19,1.7453046440541085e-16,Nob1,protein_coding
ENSMUSG00000047544,194.85211262074571,4.1027903809770185,0.4652045691192526,4.402683831938862e-19,1.8378993164638287e-16,Olfr616,protein_coding
ENSMUSG00000054406,156.199782723615,5.217012508659326,0.5960616915205925,4.412159969036671e-19,1.8378993164638287e-16,Olfr411,protein_coding
ENSMUSG00000049797,210.3789131178564,5.93151774721503,0.6833740336696341,5.477156220843714e-19,2.23399509357663e-16,Olfr642,protein_coding
ENSMUSG00000078118,258.56155207618747,5.247131551085797,0.6056957547153068,9.53813374275992e-19,3.8109710697092593e-16,Olfr483,protein_coding
ENSMUSG00000029757,201.85390068343895,2.107624129007732,0.23989398012691848,1.131803249845895e-18,4.4316888050965864e-16,Dync1i1,protein_coding
ENSMUSG00000034714,885.2889237937901,-2.4540018226487,0.27977245228808356,1.2288666810648919e-18,4.717402329782049e-16,Ttyh2,protein_coding
ENSMUSG00000111259,209.75512912920664,4.793059225187071,0.5546089577506627,1.4765858889606165e-18,5.559345871936721e-16,Olfr1328,protein_coding
ENSMUSG00000050134,121.274217130848,4.281864767358124,0.49474158605422514,1.7287879160032124e-18,6.386077324436017e-16,Olfr430,protein_coding
ENSMUSG00000073938,168.82660877325245,4.31354595830887,0.49993248736289214,2.145425567144609e-18,7.778359583992065e-16,Olfr632,protein_coding
ENSMUSG00000073932,106.71819972594442,4.9366572896259,0.5763604814740034,2.667483270423297e-18,9.49527044879042e-16,Olfr641,protein_coding
ENSMUSG00000022686,72.91100450733369,-6.36137410160931,0.751822735863186,2.7870435501134616e-18,9.743703325735954e-16,B3gnt5,protein_coding
ENSMUSG00000050128,89.96818987425621,5.186140235312052,0.6071776904846726,2.8469793010818182e-18,9.74645779309811e-16,Olfr1023,protein_coding
ENSMUSG00000061798,184.03548426956527,-6.600043332043629,0.7820418183175507,2.8873968331785182e-18,9.74645779309811e-16,Olfr1204,protein_coding
ENSMUSG00000073928,187.89077079631988,3.615714954492872,0.4193242186809853,3.111825424212779e-18,1.0325986128006405e-15,Olfr651,protein_coding
ENSMUSG00000046643,81.78540099046647,4.184317436005201,0.4901879475861378,5.092239714366917e-18,1.661597818797925e-15,Olfr218,protein_coding
ENSMUSG00000073925,245.1270200433416,4.506828001421812,0.5321263809069705,7.6820970349094e-18,2.4655753401550204e-15,Olfr654,protein_coding
ENSMUSG00000059106,153.87998374839302,5.59170789378811,0.6663622624240176,8.11180110769405e-18,2.5614974530070017e-15,Olfr961,protein_coding
ENSMUSG00000075196,60.35177238099702,5.010188380173814,0.5961528011750651,1.0206665833488122e-17,3.171842915683023e-15,Olfr1047,protein_coding
ENSMUSG00000049315,188.16631601916592,5.793905869893749,0.695271644622165,1.1738448574249794e-17,3.5130021900018784e-15,Olfr348,protein_coding
ENSMUSG00000044798,147.55871653895505,7.861548235518684,0.9619982289805826,1.1842790098075594e-17,3.5130021900018784e-15,Olfr923,protein_coding
ENSMUSG00000070407,484.23062316899615,2.6600511086032914,0.31262192173117975,1.1666781703627682e-17,3.5130021900018784e-15,Hs3st3b1,protein_coding
ENSMUSG00000060084,107.91844556239118,4.161293552460576,0.4952982859601492,1.633224324516631e-17,4.772427735132329e-15,Olfr748,protein_coding
ENSMUSG00000094822,140.1177097703826,4.889634516773848,0.5856226090171095,1.737063919165749e-17,5.00121138373927e-15,Olfr243,protein_coding
ENSMUSG00000100899,159.47779821897558,4.196736212030611,0.5016981319913231,2.1890498057280867e-17,6.2111908835571715e-15,Olfr1167,protein_coding
ENSMUSG00000047207,120.77888961589568,5.88506024725271,0.7143329217295713,2.4575344870412864e-17,6.873372883899187e-15,Olfr1495,protein_coding
ENSMUSG00000073954,236.07222773008957,3.696969436648716,0.4450231070953281,4.491361289567731e-17,1.2384770609458737e-14,Olfr594,protein_coding
ENSMUSG00000045132,486.89617469648067,4.372812048276097,0.5304652592866345,5.581785754761917e-17,1.5177805764823448e-14,Olfr620,protein_coding
ENSMUSG00000074947,90.09497553654361,-4.237271491178839,0.51550290314289,7.279507432614618e-17,1.9523040618593013e-14,Olfr1312,protein_coding
ENSMUSG00000070379,79.72768881970758,5.425970652301255,0.6701024987370758,1.0432995411478233e-16,2.7602322184583896e-14,Olfr402,protein_coding
ENSMUSG00000066749,194.95313913421327,3.602980871219284,0.4397458106311459,1.2134647159464427e-16,3.167628294506594e-14,Olfr877,protein_coding
ENSMUSG00000061165,89.6395626957309,3.7610496102958395,0.4608446713929846,1.4792227184325006e-16,3.810555576509407e-14,Olfr160,protein_coding
ENSMUSG00000075383,66.15229100903524,6.12962762000772,0.7697446813650614,2.018981715311473e-16,5.1334576652426e-14,Olfr351,protein_coding
ENSMUSG00000094119,175.2437934309089,5.733748924252264,0.7233294110475775,3.454523380288697e-16,8.67085368452463e-14,Olfr612,protein_coding
ENSMUSG00000087497,538.970405829953,1.3600284589548335,0.16781515254951437,3.8263550160559726e-16,9.482579557511878e-14,2810001G20Rik,lncRNA
ENSMUSG00000027605,2273.072445235228,1.0831836815742935,0.1339413427518193,4.630336613847657e-16,1.1331591278238679e-13,Acss2,protein_coding
ENSMUSG00000075117,189.90772829782017,-6.752520350670603,0.8655056253925049,4.911816025592464e-16,1.1751343209158663e-13,Olfr1198,protein_coding
ENSMUSG00000066273,215.62082467521026,4.944782866677162,0.6227252420068569,4.921902866232559e-16,1.1751343209158663e-13,Olfr33,protein_coding
ENSMUSG00000027796,164.40604825538298,-2.447523477488186,0.30442075411946706,6.24001167982119e-16,1.4718909478016779e-13,Smad9,protein_coding
ENSMUSG00000053963,377.24693565504253,2.8047700354730356,0.3500781365861809,7.195431064292915e-16,1.6770493973419846e-13,Stum,protein_coding
ENSMUSG00000075605,145.93980305705372,-3.1299063226107138,0.39303005347104486,9.585099841176804e-16,2.2077304081242292e-13,Slurp2,protein_coding
ENSMUSG00000034706,559.7612696499006,-2.01356623624749,0.254249943580216,1.7308924154495471e-15,3.9403967104268875e-13,Dnai2,protein_coding
ENSMUSG00000023064,71.25786809876463,-4.386149060744342,0.561773164679623,1.921393243065597e-15,4.3237973462917545e-13,Sncg,protein_coding
ENSMUSG00000095030,206.71657748487726,4.626724136028481,0.5974910139765516,2.8082668716418207e-15,6.247755546932223e-13,Olfr1513,protein_coding
ENSMUSG00000075073,196.7806298087992,-5.479030418477622,0.7154231827028182,3.3583522720944224e-15,7.387620312703887e-13,Olfr1256,protein_coding
ENSMUSG00000022306,104.4244676364338,-6.070260344267869,0.7987601647360772,3.678513208709428e-15,8.001992400012575e-13,Zfpm2,protein_coding
ENSMUSG00000101480,106.36486181455705,-7.017192805987752,0.938574507185798,5.088483440973702e-15,1.0947508660151992e-12,Olfr1220,protein_coding
ENSMUSG00000080713,98.03725124438901,5.442516724941839,0.7162962674097507,5.473563069952571e-15,1.1647980193862115e-12,Olfr1174,protein_coding
ENSMUSG00000057179,131.73884700260754,-3.3138250047013655,0.42878335141709895,5.826153072161103e-15,1.2264991919007535e-12,Olfr747,protein_coding
ENSMUSG00000022055,449.2132486956631,-3.3896228057555025,0.439426125855982,6.348059282396799e-15,1.322152176923027e-12,Nefl,protein_coding
ENSMUSG00000060480,105.17469288282368,-5.695900443446996,0.754423635220026,6.794462816429636e-15,1.4002315054743096e-12,Olfr171,protein_coding
ENSMUSG00000043267,53.59473960585323,5.057350751245352,0.6691505563768342,9.350543370709933e-15,1.906926438664157e-12,Olfr1031,protein_coding
ENSMUSG00000062142,457.93925872297206,4.754086252520771,0.6277015575421404,9.809067436731294e-15,1.9798136317146934e-12,Olfr569,protein_coding
ENSMUSG00000043119,111.14066014330821,5.662927420012652,0.7579057261438376,1.2577869909776955e-14,2.512750378506257e-12,Olfr448,protein_coding
ENSMUSG00000034912,476.69672348955976,-4.016266957222904,0.5293054374960349,1.286029246598827e-14,2.543220261607256e-12,Mdga2,protein_coding
ENSMUSG00000050577,341.37415282972216,5.651453406449963,0.7574490359991775,1.3729833094940472e-14,2.6880267233274456e-12,Olfr1038-ps,polymorphic_pseudogene
ENSMUSG00000047026,2908.4338971585944,3.7327361797931546,0.4980480594245306,2.987341045990538e-14,5.790709207762649e-12,Acsm4,protein_coding
ENSMUSG00000044499,950.7998554906814,1.6394462907178933,0.21725828827689775,3.228803269769982e-14,6.197402981917324e-12,Hs3st5,protein_coding
ENSMUSG00000068647,150.70483000797495,-8.13520184812545,1.1478554373178524,4.003169312163982e-14,7.609130950829752e-12,Olfr1278,protein_coding
ENSMUSG00000102091,171.8874184930982,4.296615167952724,0.5795840402381762,4.238181873655353e-14,7.978377377156202e-12,Olfr1034,protein_coding
ENSMUSG00000064006,367.5950220227377,-5.86196610069755,0.8055448029497972,4.774383683452172e-14,8.902179405202535e-12,Olfr190,protein_coding
ENSMUSG00000082754,76.04617060667321,5.578300513485861,0.764562454819337,4.941914430069679e-14,9.127622708670206e-12,Olfr1021-ps1,polymorphic_pseudogene
ENSMUSG00000049098,113.74526491552031,4.685454427045055,0.6366241367750822,5.159170191983322e-14,9.43983495501397e-12,Olfr147,protein_coding
ENSMUSG00000044288,353.5398430253795,-4.195658120168605,0.57021549954492,6.749259593238342e-14,1.223490780707595e-11,Cnr1,protein_coding
ENSMUSG00000063260,174.48372592140555,-2.9924175349578936,0.403140665065998,6.867238342628486e-14,1.2334568098346836e-11,Syt10,protein_coding
ENSMUSG00000094380,106.7786575109314,7.197851391379411,1.020548147196291,1.0067824126683421e-13,1.791889643201891e-11,Olfr904,protein_coding
ENSMUSG00000110259,506.7763692277147,4.461650544151502,0.6139397304863953,1.157260992473284e-13,2.0411581721299057e-11,Olfr65,protein_coding
ENSMUSG00000058275,61.48857445446949,6.1819846663124425,0.8695046916226067,1.3201290532693065e-13,2.307632732580936e-11,Olfr412,protein_coding
ENSMUSG00000050028,171.8564306911988,5.512107107252679,0.7704859296659761,1.4581073250529038e-13,2.5262677176890047e-11,Olfr745,protein_coding
ENSMUSG00000049334,47.71075903280657,4.359042767163098,0.6019587925506837,1.4765121148229814e-13,2.5357152792986253e-11,Olfr902,protein_coding
ENSMUSG00000075223,38.53693558443643,4.319506728232398,0.5967692334003556,1.543477179353883e-13,2.62766923629481e-11,Olfr987,protein_coding
ENSMUSG00000045540,268.99764092777536,5.778875877584391,0.8114858575142373,1.5680240645766103e-13,2.6464461324380068e-11,Olfr600,protein_coding
ENSMUSG00000075110,180.37551115376394,-4.508504268648245,0.6244413867992511,1.5982317822412487e-13,2.674374515617023e-11,Olfr1214,protein_coding
ENSMUSG00000004085,202.93469403335817,-1.6551415458581977,0.22618546882315912,1.8158089429060974e-13,3.0127040240860655e-11,Map3k20,protein_coding
ENSMUSG00000052516,12022.772449780521,0.9851058754499616,0.134501198159908,1.8793680804651775e-13,3.0919553175922054e-11,Robo2,protein_coding
ENSMUSG00000049018,210.72607999060213,3.9539793627496818,0.5468882215047638,1.96050529159268e-13,3.172129966843098e-11,Olfr368,protein_coding
ENSMUSG00000049926,111.25965704621532,-5.081257442751082,0.7107496289087775,1.952074318980614e-13,3.172129966843098e-11,Olfr921,protein_coding
ENSMUSG00000095322,99.43284605744692,5.687565210199144,0.8066257199025196,2.7520164666292927e-13,4.4163097035793685e-11,Olfr957,protein_coding
ENSMUSG00000091043,718.8031377613212,3.1671962194712027,0.4398198391986814,3.362156596339315e-13,5.351569255539114e-11,Glyatl3,protein_coding
ENSMUSG00000073923,72.36503181684625,6.499272663267093,0.935938428582532,3.491651445965379e-13,5.512867097508886e-11,Olfr657,protein_coding
ENSMUSG00000075199,59.88160546848597,8.380781561501644,1.2443201834694144,3.772866945165907e-13,5.90921512419665e-11,Olfr52,protein_coding
ENSMUSG00000073926,1295.226612344357,2.3554215186207044,0.32652005366839226,3.8121369691153384e-13,5.923334728677786e-11,Olfr653,protein_coding
