"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Gnai3","ENSMUSG00000000001",316.833112354876,-0.00436427270667357,0.106877140776021,0.876455923630791,0.999967202106179
"2","Cdc45","ENSMUSG00000000028",138.522796236244,0.0109001218936022,0.104102934810304,0.777297244235824,0.999967202106179
"3","H19","ENSMUSG00000000031",52.5960581778301,-0.0104020329069686,0.111275662339379,0.368336709354747,0.999967202106179
"4","Scml2","ENSMUSG00000000037",46.8028143833791,-0.00381948819733426,0.107546364836873,0.887425446329257,0.999967202106179
"5","Narf","ENSMUSG00000000056",564.238004719425,0.07253683649981,0.121344548779284,0.182438355692199,0.999967202106179
"6","Cav2","ENSMUSG00000000058",9.80782004177036,0.00255545010721704,0.110405896848018,0.848724155897102,0.999967202106179
"7","Klf6","ENSMUSG00000000078",599.580209427456,0.0550432044725922,0.119862405321276,0.214123304970308,0.999967202106179
"8","Scmh1","ENSMUSG00000000085",818.541573772831,0.0393330671884017,0.113497411611628,0.298394866813445,0.999967202106179
"9","Cox5a","ENSMUSG00000000088",1774.32472767545,0.000746041879234568,0.107390190374229,0.982318377695714,0.999967202106179
"10","Tbx2","ENSMUSG00000000093",77.6694325753906,0.00154443394711332,0.108262588744377,0.952460007959759,0.999967202106179
"11","Tbx4","ENSMUSG00000000094",1.98849467532792,0.00930680470085797,0.111569399494694,0.157882845412226,NA
"12","Ngfr","ENSMUSG00000000120",18.3635090971055,-0.0136381262005736,0.11133376781201,0.368468429439662,0.999967202106179
"13","Wnt3","ENSMUSG00000000125",9.61265184922847,-0.0183704766618972,0.112431381809715,0.2126858613527,0.999967202106179
"14","Wnt9a","ENSMUSG00000000126",8.50776443751096,-0.0241827406421029,0.114700030814961,0.0211747512612903,0.386636043595251
"15","Fer","ENSMUSG00000000127",1092.77685773036,-0.0269261372801033,0.104652262784441,0.53127234738875,0.999967202106179
"16","Xpo6","ENSMUSG00000000131",1631.25679299572,1.28370299962706e-05,0.103415352864109,0.986333416500031,0.999967202106179
"17","Tfe3","ENSMUSG00000000134",1119.03432534782,0.0163705594019911,0.107703115085252,0.611357310376752,0.999967202106179
"18","Axin2","ENSMUSG00000000142",163.818320131962,0.027241229004912,0.111806941222619,0.348510789979141,0.999967202106179
"19","Brat1","ENSMUSG00000000148",310.694608861541,0.0107230373718212,0.107554175545414,0.719246686697105,0.999967202106179
"20","Gna12","ENSMUSG00000000149",907.415733395965,0.00307239074606297,0.107032775772042,0.918898901945476,0.999967202106179
"21","Slc22a18","ENSMUSG00000000154",11.2899187433544,0.00507675450957875,0.110896755770776,0.60569468119818,0.999967202106179
"22","Igsf5","ENSMUSG00000000159",2.29949792372185,-0.00154070538321088,0.111017650013209,0.787114210385601,NA
"23","Pih1d2","ENSMUSG00000000167",254.326185583125,-0.0382960426088798,0.112423960745926,0.316182139651212,0.999967202106179
"24","Dlat","ENSMUSG00000000168",963.113350044492,0.0129374152573453,0.10366636381401,0.744797880949191,0.999967202106179
"25","Sdhd","ENSMUSG00000000171",970.165585146153,0.000418303685611846,0.102199366633424,0.993858267342708,0.999967202106179
"26","Fgf23","ENSMUSG00000000182",3.86249172749561,-0.0142540828798319,0.112082673671578,0.151927210788399,0.999967202106179
"27","Ccnd2","ENSMUSG00000000184",90.3498977079914,0.006187463372115,0.110596628937311,0.647962330065266,0.999967202106179
"28","Gpr107","ENSMUSG00000000194",1251.96111447216,0.00372748713436489,0.100374452452868,0.931535655826603,0.999967202106179
"29","Nalcn","ENSMUSG00000000197",223.148095377398,-0.660304111673134,0.472504588190762,0.00358236046488428,0.0934451503270332
"30","Btbd17","ENSMUSG00000000202",69.1275568168183,0.0576385510448051,0.130971367571707,0.029646345146209,0.489077442752109
"31","Scnn1g","ENSMUSG00000000216",4.4090593370551,0.00470981056361635,0.110992027830087,0.572669669460566,0.999967202106179
"32","Drp2","ENSMUSG00000000223",53.7628718704959,-0.607896452606274,0.87481987630874,0.0059576620506952,0.142847972972182
"33","Tspan32","ENSMUSG00000000244",6.75763256972424,0.00298648901078201,0.11071337862773,0.777625425672456,0.999967202106179
"34","Lhx2","ENSMUSG00000000247",12297.916900984,-0.00397968530251203,0.106274997748882,0.87316421473588,0.999967202106179
"35","Gmpr","ENSMUSG00000000253",43.078376994044,0.014296904718168,0.109471379619779,0.569627343110201,0.999967202106179
"36","Glra1","ENSMUSG00000000263",5.32439717738269,0.00197606278067457,0.110849081137648,0.819552640017048,0.999967202106179
"37","Mid2","ENSMUSG00000000266",642.355290823805,-0.00547777120322763,0.102134047251241,0.891027333985005,0.999967202106179
"38","Trim25","ENSMUSG00000000275",347.895466245879,-0.0538170177463097,0.117456850227935,0.225313601237216,0.999967202106179
"39","Dgke","ENSMUSG00000000276",724.008103066514,-0.0244770286974753,0.101944238491671,0.589380179572951,0.999967202106179
"40","Scpep1","ENSMUSG00000000278",245.745783586118,-0.0528323941733036,0.124399055126979,0.105184832166885,0.999967202106179
"41","Mnt","ENSMUSG00000000282",1810.19990800638,0.0190531123171844,0.107823160047788,0.56933863852785,0.999967202106179
"42","Itgb2","ENSMUSG00000000290",3.46078698515308,0.00550439099669582,0.110872216275456,0.595294484389105,0.999967202106179
"43","Hddc2","ENSMUSG00000000295",78.7909112636311,0.00476352032688835,0.105625811756362,0.863260284997347,0.999967202106179
"44","Tpd52l1","ENSMUSG00000000296",3.39377148954242,0.00174623477387321,0.110797318800465,0.850873090470133,0.999967202106179
