	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_1	0.0	0.0	0.0012780583385153458	0.002936729661855011	0.00011618712168321325	0.0036058072246514454	2.4038714831009634e-05	2.4038714831009634e-05	0.0008493679240290071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010416776426770844	0.0	0.00033655048890368996	3.205290267480671e-05	0.0012821342406569977	0.0007572623260069606	0.0005609356406486019	0.0007332276283535999	0.0	0.002083598374392576	0.00028849918436872954	9.21606433742528e-05	0.0009015807234508119	0.0020355867037720465	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.159952429161136e-05	8.914183776773862e-05	5.3485318799985556e-05	7.725670933663674e-05	0.0004902847404401384	0.0005081160092437891	0.0003506320633231998	0.0007309948036966942	3.5658819269930844e-05	0.0003952359741525183	0.0017027951962631939	0.00387215159862804	0.00021693559102066144	0.0	2.080205533816252e-05	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_2	0.0	0.0	0.0	8.617044317548067e-05	0.0006091358914128806	0.0008290190912399693	0.0015362110041973623	0.0	0.0006774779670348136	0.0	0.0	0.00021394041064257268	0.00022285459441934654	0.0001485697296128977	0.0004219380321006295	8.319904858322272e-05	3.8628129699353406e-05	1.7828367553547727e-05	2.971394592257954e-06	2.971394592257954e-06	0.0	5.942789184515908e-06	8.914183776773863e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_1	0.0	0.007182500897192361	0.006024699946579891	7.236255941327941e-05	0.00016333263410425923	0.0	0.00014472511882655882	0.0	6.822755601823487e-05	6.409255262319034e-05	0.00032666526820851845	0.0003411377800911743	7.236255941327941e-05	0.00045691787515242144	0.0015010062324011671	0.0009737932995329886	0.0005168754243805672	0.0011267884251496365	0.0010048058249958226	0.0005913054854913689	0.00030185524783825124	0.00015299512561664787	0.00018814265447452644	0.0003659478004614416	0.0006450605296269479	0.0004383103598747209	0.0011102484115694583	0.0007298280992253609	0.0004858628989177332	0.00040936533610940915	0.0006326555194418142	0.0009448482757676769	0.00040936533610940915	0.0007732456348733286	0.001560963781629313	0.0009737932995329886	0.0005685629668186239	0.0015671662867218796	0.0005292804345657008	0.0011102484115694583	0.0005127404209855227	0.001283918554161329	0.00019021015617204872	0.0011515984455199037	0.0012425685459010092	0.00165606889395459	0.0013252686155117252	0.0005044712068716918	0.0021398684599081377	0.002720837634262276	0.0026526100525113413	0.001560966944385084	0.0016147221642057073	0.0024644671187364956	0.0005747667434255936	0.0012673813443161471	0.001443119466887686	0.0017573804396196747	0.0008600826622138644	0.0008683526878120745	0.0008642177822195172	0.0014121074256072139	0.00028118113194385333	0.0015237608170219424	0.0010523846695465616	0.001538341804827267	0.00014473865378702175	0.001143503578339073	0.0006059687926071808	0.0009001183003755189	0.0001781931824614479	0.0009919709454007288	0.0007619000331512121	0.0004892319132807817	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_2	0.0	0.0009717257978354664	0.0001798726476844374	0.0012012184862604382	0.00123016351002575	0.004017155798285769	0.0032149651396471282	0.005112931697972571	0.0045112887039935904	0.0071576908768220945	0.00814802418993526	0.006533305364170369	0.010447086077580024	0.006713178011854806	0.01023413340273523	0.012764755480502488	0.010232065901037708	0.007273470971883341	0.009493967795022257	0.011365056831279911	0.010848181406899344	0.013002518175717548	0.010949488990077935	0.01024240340952532	0.009963290680359813	0.010077003273723538	0.012923953111211703	0.00888405479425319	0.005110864196275048	0.00721764842605024	0.005282466837169397	0.007333428521111487	0.005470609491643923	0.007440938609382645	0.003324542729615808	0.005789004753062352	0.003527159427378692	0.005890314893670512	0.004077119079540334	0.004600235598223321	0.008150190941275724	0.005319765787231987	0.00901446768307133	0.005375626668847793	0.005729199650657347	0.0059276866883261215	0.007532193978206301	0.011266294956812294	0.00902304378694584	0.011824834074461719	0.013632270364994994	0.006103902312419555	0.009792823068251924	0.006701578284752439	0.013262725620384979	0.00681961109234351	0.003536015684524869	0.0012696685145719999	0.005120132134149861	0.007663665581290896	0.0024194925736777365	0.0008850848804672188	0.004057395478018264	0.0021590147447885333	0.003362658361355486	0.0030526204761343397	0.004703126124916312	0.0036714396209105177	0.004274126502807497	0.004228929091705724	0.002945517258533916	0.005037535267438285	0.0031235481799300395	0.0008970979828220072	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_1	0.0	9.625139323891713e-06	0.0	0.0	0.0	0.01672656711705902	0.0	0.0	1.5400222918226743e-05	0.0	0.0	1.925027864778343e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.850055729556686e-06	0.0	0.0	0.0	0.0	0.0	5.775083594335027e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.925027864778343e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010010144896847382	0.0	0.00444873939550275	0.001977003617127358	0.00047933193832980735	0.007494133477582088	0.010843681962296403	0.007384406889289722	0.0033341482617960895	0.0035709266891638257	0.0007988865638830123	0.0005043573491170234	0.0014610975275669543	0.005836689991545463	0.00020020308678124276	1.1550178083533235e-05	9.625148402944364e-06	9.625148402944364e-06	3.0800474889421966e-05	0.0	0.0	1.7325267125299854e-05	0.00019250296805888728	1.925029680588873e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1552067430187728e-05	0.0	0.0	4.244849068602935e-05	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2_1	0.0	0.0002698258542470245	0.00026542651966690996	5.425845982141253e-05	0.00021116805984549742	0.00107783697212806	0.0	0.0	1.1731558880305413e-05	0.0	0.0	0.0	0.0	0.001378458168435886	0.00017157404862446667	0.001871183641408713	0.0008138768973211879	0.001636552463802605	0.005675141608347744	0.006792572591696834	7.478868786194701e-05	1.3198003740343589e-05	0.0	0.0	0.0	2.932889720076353e-06	0.0	0.0	0.0	1.4664448600381765e-05	3.9594011221030765e-05	1.1731558880305413e-05	0.0	5.865779440152706e-06	3.9594011221030765e-05	1.4664448600381766e-06	0.0	0.0	7.332224300190883e-06	0.0	7.332224300190883e-06	0.0	0.0	1.3198003740343589e-05	0.0	1.4664448600381766e-06	1.4664448600381766e-06	0.0	0.0	0.0	8.945313646232877e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.865782364780481e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.4668784134994121e-06	6.604149246082796e-05	1.0285803087880374e-05	0.0006863941878980421	6.0592502574575433e-05	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
