	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_1	0.047988108041926145	3.0008978686422978e-05	0.0019730903486323108	0.005938026657575947	0.0026220345127262075	0.030789212132269976	0.024933710166081688	0.019963473071142886	0.0221991419832814	0.014749413024376894	0.014741910779705287	0.0074834890599267305	0.0023482025822125978	0.0004951481483259792	0.00013128928175310052	0.00015754713810372064	0.0011103322113976502	0.0010653187433680156	0.00023632070715558096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_2	0.11919191222013625	0.1282621260281076	0.1346315317543009	0.13878777530237046	0.1410647065602028	0.14846567092874188	0.1517441518502336	0.15525895347888088	0.1567481490461946	0.1688492697014947	0.1706835685237023	0.1734706524192038	0.17495609686418176	0.17900355786451305	0.18020391701197	0.1762952475380634	0.19176112492857864	0.19169735584886996	0.1927589234699022	0.19758286679374468	0.1997135042804807	0.20135649586356238	0.1958798572532902	0.21064802588934609	0.21009285978364728	0.21052423885226462	0.2151381193253021	0.21670233733933195	0.21872044115599387	0.21526190636238363	0.22809824699550107	0.23024388897158032	0.23304597735642504	0.23343234295701273	0.23637322286828216	0.23809123689807993	0.24042818611328512	0.24608862971801163	0.24943838196388357	0.2493408527831527	0.24841432556620943	0.24993353011220956	0.24321902113112245	0.25676057276337083	0.2552751283183929	0.25631418920541027	0.2581672436392969	0.2599865379721613	0.25670430592833376	0.27129242069227116
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_1	0.23140332918476192	0.0	0.0	0.0	0.0008595529195438161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.841621783307488e-05	6.397966715051058e-05	5.0071043856921325e-05	0.0	0.0	0.0	8.345173976153554e-06	0.0	0.0	0.0006537052947986951	0.0010598370949715015	0.0006509235701399773	0.00033937040836357784	0.000990293978503555	0.0009652584565750946	0.002372811133886327	0.005824931435355181	0.00427272907579062	0.002840140876550926	0.0033992675329532146	0.004459104627924716	0.004748403992431372	0.006075286654639788	0.006868078182374375	0.009004442720269686	0.011552502507655237	0.010896015488197824	0.015880866076620214	0.01784754541033373	0.019867077512562892	0.01650397240017301	0.012328603687437517	0.009983609800138368	0.006884768530326682
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_2	0.7562786098642571	0.7819010756957073	0.7932866747238395	0.8122163110264143	0.8176017299656921	0.8215406520824367	0.8151037412221636	0.8088754597112943	0.8132483308747986	0.7988695961138862	0.7833809532141451	0.7767187226565159	0.7861320789016172	0.8003411284583478	0.8149980356851322	0.7983744491246343	0.8023996047057992	0.7969001350555138	0.7683679852310449	0.7726824401767163	0.7900849096416551	0.7909694980831274	0.7917650713355209	0.7815561418380264	0.7759648752740034	0.7658533061395639	0.7705878015087018	0.7631522514959489	0.7649937532200202	0.7625430537956898	0.7659506665026191	0.7592634004230614	0.7519725000925619	0.7634053884398923	0.7553189148569995	0.7386675110499145	0.74618373107777	0.7436440164643607	0.7438748996110343	0.7448373763429506	0.7519725000925619	0.7656724940367473	0.7516915459020314	0.728044104578271	0.7548988744335331	0.7549767627239772	0.7348676751661058	0.7428011538927691	0.7367119586148357	0.734500487511155
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_1	0.040145457553696945	0.007169913684943611	0.00599647147340777	7.27089838473155e-05	0.00015955582566494234	0.0	0.00017975276562252998	0.0	9.694531179642067e-05	0.00012522102773704336	0.0004402932910754105	0.0006543808546258395	8.280745382610932e-05	0.0011936391514934294	0.002373140445016547	0.002829591288058028	0.0014299433489972048	0.003831359509954375	0.003413282852832311	0.0008199957622780582	0.0004726083950075507	0.000401919105155994	0.00031305256934260835	0.0006261051386852167	0.0018661972520810975	0.0013027026272644025	0.0016702869344924977	0.0020318121597333164	0.003360770808942583	0.001316840485234714	0.0015995976446409408	0.0015208295788063492	0.0010239848558496933	0.0030133834416720753	0.0030658954855618033	0.004213081760244141	0.0012845254072460562	0.0028841230841939753	0.0021004818404357253	0.002781118744499994	0.004198944156405762	0.004390815190184707	0.0013794512219887835	0.003330476407987682	0.004901799505736226	0.007194153354790034	0.003829341672142228	0.005576378050560036	0.01192226039917295	0.013495602911616746	0.01284324138206688	0.012578661318998667	0.006313567001154437	0.0066407576134983335	0.0051583013822611755	0.005638988825087393	0.005471354128639594	0.00841001072417746	0.003257768454864456	0.005279483410425102	0.005297661309747491	0.005025003735932741	0.0032658503360362065	0.005990450139914174	0.002868032262050573	0.003670065513598199	0.0027813740609984212	0.004534899862139044	0.0015536302034439354	0.0046754575510296985	0.0014613862584554706	0.00474292054849214	0.0024708024624995628	0.003988176790784888	0.004425367398881711
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_2	0.03983038529035858	0.03699473492031327	0.03745118576335476	0.042120718281549015	0.04476045833400572	0.05153653168977637	0.05393592815673779	0.05743201846339621	0.06318006757532565	0.0655875428182701	0.0728119882410992	0.06989151072323202	0.07821264998575812	0.07244844332186262	0.07674029306284999	0.08502507783345244	0.07711595614606112	0.07899023217412525	0.0790710199339556	0.08627324872283135	0.07725127564377696	0.091433566881995	0.08147445578890854	0.07964461302875109	0.07935377709336182	0.08209652153960223	0.0812502697553793	0.08180164621622145	0.07242420699391351	0.06931185854644926	0.07209701656660059	0.06976830938949075	0.06371326679020596	0.07038633575219291	0.05767438174288726	0.03244110823609975	0.030259187508186316	0.03001279124757102	0.03096852381302293	0.026046944951159758	0.0389048542149892	0.03242152287248834	0.04395830416350218	0.03744457513913772	0.03842677987120452	0.037489519148779606	0.046319150931271535	0.04835406066822273	0.047451123070190504	0.05093676880051183	0.05886346772926006	0.04004252533162527	0.048494681718923405	0.05015785661884482	0.05413859601813597	0.049354019212627	0.03625697490624943	0.03125008839980392	0.04457780652823812	0.04467689207324925	0.043662645536847774	0.0409915207745096	0.04312938927915929	0.03099191922784092	0.035264077261225095	0.035116682746152074	0.04160617413072013	0.03593686364751203	0.04290094560969037	0.04045188319180466	0.02907516156096757	0.02700994674544605	0.03049442848461146	0.02995960010407589	0.035567474120259755
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_1	0.002845134576836059	9.383689237585946e-06	0.0	0.0	0.0	0.020028546308703446	0.0	5.630213542551568e-06	0.00015952271703896108	6.943930035813601e-05	0.00038097778304598944	0.00041288232645378165	0.0005817887327303287	0.0003378128125530941	0.0005986793733579834	0.0002458526580247518	0.0005423772379324677	4.316497049289535e-05	0.00048419836465943484	0.0012574143578365168	0.0003941149479786097	0.0003453197639431628	0.0013231001824996185	0.0003528267153332316	0.0008651761477054243	0.0004804448889644005	0.00025711308510985493	0.0004429101320140567	0.005448169971342401	0.001349374512364859	0.00043352644277647076	7.694625174820477e-05	0.00011448100869854856	9.383689237585947e-05	0.00010697405730847979	1.5013902780137515e-05	7.13160382056532e-05	0.00025711308510985493	0.00012198796008861731	4.8795184035446926e-05	8.445320313827352e-05	0.009286098869515053	5.630213542551568e-06	0.011729611546982432	0.010742447439188393	0.006570459204157679	3.190454340779222e-05	0.0017022012276980908	0.00012011122224110012	0.00013137164932620327	1.8767378475171893e-05	1.8767378475171894e-06	0.0	0.0013005793283294123	0.00015013902780137514	0.00013512512502123763	0.012388346531460965	5.630213542551568e-06	0.0	1.8767379179600909e-06	0.0	1.5013908133799746e-05	0.009419362636265464	1.876749963774034e-06	3.1905321820817195e-05	2.8153461742148226e-05	6.193861909125048e-05	1.8770551759805865e-06	1.8773832206621792e-06	0.0	9.404954014383297e-06	1.8945301069915037e-05	0.0	0.0	0.0002216710998548335
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_2	0.05038102751659895	0.031091915919817276	0.031247685161161203	0.03148603086779589	0.03893855686028665	0.033135683435763494	0.03970051242637863	0.03748033155276579	0.034494441637365945	0.03434054913386953	0.035783760538610244	0.044221573901047535	0.03475718493601834	0.03636930274703561	0.034036517602571745	0.03585695331466342	0.03519634159233737	0.04018283405319054	0.043913788894054714	0.03867956703732928	0.04139520670268665	0.038152203702176944	0.036001462128922246	0.03579689770354287	0.03669397839465609	0.04905042038270926	0.05514794164929261	0.0779765808264917	0.11690387725969324	0.12697820602516552	0.15042616869204528	0.15311178055184238	0.1581921099050714	0.1460721368858054	0.13921266005313007	0.09079322391901612	0.07649012455308404	0.07522705961883867	0.06453020795837146	0.05800467086193173	0.04520500051899674	0.038059861348937005	0.03929337114258027	0.031626263548641745	0.030150687353067026	0.028526826255689124	0.022494843335957106	0.023388530176939357	0.02407197125151046	0.019001152535079665	0.018817204553414305	0.017191395673610773	0.01821647202752112	0.017011219425825067	0.01596364876480728	0.016433014841116984	0.020585893877154388	0.014163257678432548	0.014936763477082534	0.01706014068505054	0.01566709681561798	0.0159881487940935	0.01315888458543027	0.012471792964707209	0.014080979525504784	0.013723178241516936	0.011960307550765591	0.017295815165701552	0.012353976625442359	0.012853207649507608	0.019174629845907856	0.011725256958675028	0.01158551515250883	0.014282436663822486	0.01981358169152487
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2_1	0.0005727223922213418	0.00027490674826624405	0.00027061133032458396	5.440862726102746e-05	0.00021190728512189645	0.0011812399339565173	0.0	0.0	1.1454447844426835e-05	0.0	0.0	0.0	0.0	0.0015334642051726423	0.00017324852364695588	0.0019014383421748545	0.0008361746926431588	0.0019300744617859215	0.00722632478385278	0.009729121637860043	7.588571696932779e-05	1.288625382498019e-05	0.0	0.0	0.0	2.863611961106709e-06	0.0	0.0	8.590835883320127e-06	0.0	5.727223922213417e-05	2.4340701669407023e-05	0.0	0.0	6.013585118324089e-05	1.002264186387348e-05	0.0	0.0	1.4318059805533543e-05	0.0	1.5749865786086898e-05	5.727223922213418e-06	8.590835883320127e-06	2.1477089708300316e-05	0.0	1.002264186387348e-05	2.4340701669407023e-05	0.0	0.0	0.0	0.0003336107934689316	7.159029902766771e-06	0.0	1.002264186387348e-05	0.0	7.159029902766771e-06	0.0	8.590835883320127e-06	0.0	0.0	1.4318064930706294e-06	1.4318066980776419e-05	0.0	0.0	0.0	0.0	0.0	7.160042574758756e-06	7.16114004490178e-06	0.00010030422127019506	4.1605718473586044e-05	0.0008478022877691984	0.00013901088079571483	1.9083544577569837e-05	0.0002797230893991179
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
