	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_1	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947	28.834045959050947
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1_2	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514	28.287516174839514
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_1	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508	28.983064609922508
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2_2	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031	28.28435874334031
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_1	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.923671381164304	29.9236713796227	29.9236713796227	29.9236713796227	29.923671378081096	29.923671378081096	29.923671374997888	29.923671373456283	29.923671368831467	29.92367135804023	29.92367134724899	29.923671345707383	29.92367134416578	29.923671341082567	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671337999355	29.923671336457748	29.923671333374536	29.923671333374536	29.923671324124896	29.923671304084	29.92367126091896	29.92367090018066	29.923669603652886	29.923666071060346	29.923664916212168	29.92366090972071	29.92365024789998	29.92361466677895	29.92353347004649	29.923094185895437	29.92174529626207	29.917804284707874	29.918309404818512
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_2	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.440595437297176	29.449464675245554	29.449531394750547	29.449606119239416	29.449663955755742	29.449735720083673	29.44978708906369	29.449882946523438	29.449983058768193	29.450043101770973	29.450181515468227	29.450294423549696	29.450394027975392	29.450532979663613	29.450614493559122	29.4507442961073	29.450837669394616	29.450883866311308	29.451040829305327	29.45116105012092	29.451258614258037	29.451290415851965	29.451404469811756	29.451448019096784	29.451470211904205	29.45150635645023	29.451531523514756	29.451550667384673	29.451576748440083	29.451606213093793	29.45165665187348	29.451747752127144	29.451851174660572	29.45192883668359	29.451981149861368	29.451974123091514	29.45155287408053	29.44971052055454	29.443184727752925	29.413165058516746	29.33949259349243
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_1	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649311245657	29.922649308342315	29.922649308342315	29.922649302535635	29.922649283663922	29.92264918495019	29.922648811868072	29.922647424029066	29.92264323993341	29.922641986917323	29.92263825961396	29.922627273910024	29.922596170652383	29.922515668700413	29.922129811043167	29.920849687293302	29.917146010914017	29.9200683476538
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_2	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.412446904505778	29.42066815575088	29.420700115551828	29.420802610830094	29.420906762344515	29.420968753285372	29.421052580198513	29.421122519036032	29.421176089459873	29.42123858856225	29.42127430246779	29.421339778212044	29.421394837611807	29.421451363619084	29.421528227361964	29.4215669182819	29.42161900239153	29.421652237121183	29.421671582748584	29.421737060466917	29.421777736182634	29.42179807408746	29.421845198621398	29.421868512926658	29.42188389046967	29.42190268611887	29.421906600259703	29.421925913704587	29.421936414444826	29.4219469274237	29.4219523597281	29.421967565796763	29.421981655854825	29.42196580168	29.421904209053174	29.421759894263953	29.42123476035608	29.419220597659532	29.412122278387486	29.379789246694912	29.307635987144813
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2_1	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.916613051498555	29.9166130407531	29.91661302165006	29.916613009710655	29.916612942849934	29.916612966479658	29.91661203135499	29.91660869351054	29.916607460001188	29.91660318930922	29.91659582031468	29.916566891430755	29.91649332026646	29.91613789632753	29.914926006430644	29.911427115172373	29.91117717520621
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
