Sample	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_duplicates	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_gc	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-avg_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-median_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_fails	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-total_sequences	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_duplicates	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_gc	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-avg_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-median_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_fails	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-total_sequences	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_duplicates	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_gc	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-avg_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-median_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_fails	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-total_sequences	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_duplicates	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_gc	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-avg_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-median_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_fails	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-total_sequences	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1																										89.87	22430950.0	
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2																										91.12	30665964.0	
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3																										91.63	44319219.0	
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1																										92.86	48239127.0	
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2																										87.55	59702562.0	
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1																												0.36015
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2																												0.326795
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3																												0.217014
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1																												0.248938
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2																												0.658294
