#'chr'	'start'	'end'	'ChIP_Bulk_mOSN_REP1.mLb.clN.bigWig'	'ChIP_Zone1_mOSN_REP1.mLb.clN.bigWig'	'ChIP_Zone1_mOSN_REP2.mLb.clN.bigWig'	'ChIP_Zone2_mOSN_REP1.mLb.clN.bigWig'	'ChIP_Zone2_mOSN_REP2.mLb.clN.bigWig'	'ChIP_Zone5_mOSN_REP1.mLb.clN.bigWig'	'ChIP_Zone5_mOSN_REP2.mLb.clN.bigWig'
chr15	98186011	98195542	0.1284353139132276	0.05722851023011685	0.04460263432155769	0.06354151725572604	0.046050609935811004	0.08385851905120334	0.05428721909406921
chr15	98206969	98221056	0.055702801384713785	0.04342667684977128	0.044312462455877284	0.05547838112444689	0.04067260604769322	0.05043505449088988	0.038141542885747864
chr15	98224306	98234450	0.08105411236680159	0.05685525568078833	0.05492745165519592	0.04644559926598414	0.04839521926901909	0.1319744648094374	0.08423173887135149
chr15	98309201	98317353	0.25587977800222644	0.09046650205054173	0.09346311377963794	0.0891587928555002	0.1104100138564124	0.19411640008134626	0.13627320784198527
chr15	98340020	98340987	0.3990388367452197	0.09065025513211598	0.1209612372018312	0.11080340344570538	0.14431788252267866	0.2708224975258389	0.13069312876204053
chr15	98377697	98380946	0.34643016938621707	0.07900375836437877	0.07354147046409999	0.08776905545340254	0.10360928435221418	0.254143231762301	0.14932503974856084
chr15	98431223	98438638	0.1660391306889406	0.051323797333541116	0.04059617911484885	0.06954662407282965	0.0478667434841188	0.18297907947253325	0.10103141296062633
chr15	98452586	98460395	0.08501735820871421	0.05003065657477181	0.03983307645256242	0.04048588028584665	0.040094296235457606	0.09831936921382871	0.06266385333759891
chr15	98469894	98478982	0.15769679415723128	0.03884340923393378	0.03703306463355783	0.05323136938782407	0.03994769920717545	0.14949915680499767	0.07247571178573609
chr15	98492400	98502637	0.08947311201853876	0.034031453736741914	0.023716038347505543	0.039677726330883095	0.026299027169320872	0.12919262423703762	0.04705750354724853
chr15	98499403	98499642	0.034431200474500656	0.04178331677010867	0.015610500238835812	0.033894885721067004	0.06301385086325921	0.11990399378114165	0.03826901328950989
chrX	49672331	49684825	0.09141316441894039	0.04465069902913535	0.04183654587560114	0.06950520215249902	0.051909197258150415	0.12617186944636832	0.058529948503627346
chrX	49726016	49735059	0.052139428826936625	0.03812777718661053	0.042179973595044794	0.043836568298826144	0.04701013785531825	0.092841477318597	0.05590235477252321
chrX	49884997	49891483	0.05151046298395509	0.05031336078390023	0.031830369768314035	0.04183421858351704	0.034146644797900055	0.08596726493783736	0.05469069682740344
chrX	50007165	50019359	0.06918439882509599	0.047630911491650794	0.033271061262919156	0.03695512464022267	0.036087430606772955	0.09978452717131489	0.05054494958768364
chrX	50420996	50428498	0.08931341728641513	0.0466877636236192	0.036682033508623466	0.056417014002364	0.045970813272893624	0.12879068896575513	0.045936954740834444
chrX	74569373	74574888	0.046341358736631165	0.05331371394548839	0.03697697271087279	0.04323672847779618	0.058283379393521295	0.07391997374789817	0.0499764770226219
chrX	74592677	74597578	0.11093434428439353	0.09332264505946741	0.09388756563036631	0.0917846761237456	0.09409283736041732	0.13796359735016675	0.07165435550365962
chr19	11826801	11839219	0.09277674544654431	0.037507546514681495	0.03496616411859802	0.04689962341856472	0.037772409402994075	0.10585641949787285	0.03664653597675912
chr19	11852585	11861066	0.11340827306330906	0.06785796151993055	0.06216861200310798	0.06438865171771452	0.05582702733583016	0.13147797904388925	0.06949566190348645
chr19	11868611	11875106	0.14544021990805092	0.056225431486120366	0.049989683252809704	0.06114668492514675	0.046153235745149936	0.15395952790422784	0.0786951810413702
chr19	11886563	11898079	0.2090214002525704	0.06623793409576731	0.043743709104171316	0.0722094729452054	0.05107902746151893	0.23200894131791366	0.0750009264433863
chr19	12031785	12041317	0.18758571474259994	0.056298800982916834	0.0505175956131595	0.06946038559468648	0.0676760375907945	0.18232337134749968	0.1053788002057796
chr19	12058807	12062682	0.1740961161028719	0.073858047039257	0.08515433535422047	0.07839489617293938	0.08125507294926869	0.21771405059015758	0.12276208571819751
chr19	12073232	12077731	0.20154712212426631	0.08707462398614886	0.07676012945835599	0.06860798267798013	0.07917774299676364	0.23052831210784605	0.13925561663717473
chr19	12086750	12092013	0.20213372579515135	0.04732710307803644	0.06246940306931007	0.07126935023250597	0.06320613839977895	0.24852083853647833	0.13039054129622313
chr19	12098004	12103334	0.18417818836220368	0.06023914008673954	0.06767716293569677	0.07675205565623577	0.08869823557188171	0.24449167934205582	0.13452764444034176
chr19	12107714	12115897	0.20715493745190963	0.08788493937306205	0.08075398695801311	0.09866959163592057	0.07635908021782044	0.22054952551080964	0.11106060936671334
chr19	12117994	12123203	0.2668752342767404	0.07557781080691203	0.08628897120303704	0.09568208894952641	0.10336887636571433	0.25267026135250614	0.1290119332756451
chr19	12166136	12167103	0.35082786603452254	0.12933535039455715	0.1147621326002118	0.10391180106701624	0.13256979700574706	0.2344776124470976	0.13847015186327566
chr19	12200632	12212191	0.19072087488091907	0.08229138183202774	0.08723287660307154	0.09745662012145385	0.09672453226008736	0.2225407883903731	0.11661696838587789
chr19	12261030	12270387	0.18922299002506848	0.06939752611528727	0.08142123248831787	0.08100317603242474	0.09085087757674566	0.2183073432201985	0.1347369584639652
chr19	12279852	12285626	0.2677564440438239	0.07529151263972503	0.07465106807672903	0.09870952387491369	0.11578771182758771	0.2328472842122197	0.13130328038894692
chr19	12319205	12325101	0.3542765363123695	0.14305941002016312	0.11489278929285311	0.1116805836445695	0.13753672137335668	0.2401544068901621	0.1342224425148933
chr19	12329420	12335910	0.23692096731224707	0.08267353763076546	0.09588567640729058	0.1035411934022661	0.11721656542223827	0.2322741835520882	0.12362628490054185
chr19	12387277	12401584	0.12157200557264784	0.07983461837558123	0.07196309506350411	0.07890660995821167	0.08943380509281405	0.17971985227343965	0.09867470897947776
chr19	12417431	12423569	0.0940409651725431	0.06051925882313037	0.04703488428750841	0.05331581507845296	0.053525199401778134	0.2122918959686684	0.07732334776465243
chr19	12670437	12677277	0.11522136843379747	0.0699648775970342	0.05591162993531026	0.05534817690335056	0.04340396619508362	0.1674078321491108	0.09912185590797833
chr19	12678110	12683851	0.11543982616522011	0.05171948371125902	0.06004119613233105	0.060058416243145216	0.049703113802309004	0.14378936678301524	0.0770849749503119
chr19	12857281	12863440	0.4748383816776192	0.20774521102880497	0.1506808514176183	0.18492321050858623	0.1711152573596363	0.27678240626615724	0.17191683690466877
chr19	12888264	12893524	0.34724366831300313	0.10793853776445862	0.11624977186367835	0.1479336132665227	0.15232216258630843	0.2895155568300061	0.14382537051670682
chr19	12899432	12903743	0.374644098783711	0.12467644850523613	0.12029951356696127	0.12664358960832742	0.1702850620019758	0.24106538473086125	0.1587849430193613
chr19	12916659	12924419	0.36123806892385196	0.17996634811961776	0.11754662623571366	0.1564345827795269	0.16153910343787928	0.25299369072640504	0.14235960376727297
chr19	12930838	12935752	0.29792619918389296	0.1501632193214873	0.12292581825271874	0.15688040569928005	0.14985846872400635	0.22959991011888817	0.13462218664472325
chr19	12950256	12956406	0.3187040313537058	0.14914857817532723	0.1159658992816144	0.14956850301651728	0.13121225362405697	0.26689794013463275	0.12866505236077713
chr19	12995012	13000417	0.28922745233388886	0.1480852691339851	0.11566720243739817	0.14802938652618317	0.14305017458974062	0.23473635503802015	0.11205366001606945
chr19	13060608	13067157	0.22288616668226652	0.10246647405049186	0.09882444532859147	0.11070010231091625	0.11169511037198067	0.23019119440155553	0.13807557220277264
chr19	13093377	13097891	0.2359030520556071	0.11748763540755558	0.08066514464690172	0.1621024952265905	0.10801491724149616	0.25461728196086664	0.09793013281118132
chr19	13101591	13106775	0.25551311143598704	0.1140992955083786	0.07807595646852836	0.11733565204388612	0.1144369382096565	0.23920279671718792	0.12479581915141065
chr19	13138019	13149549	0.26040041610694886	0.12085280073821951	0.08854218897429332	0.14004792527106164	0.10333082109221078	0.25411840453379	0.11665844681416272
chr19	13162998	13168130	0.19804102718942104	0.08990650859365962	0.07632524107019673	0.0993813324190608	0.09828040560676526	0.2037902752780591	0.11113818470435102
chr19	13231326	13235812	0.1852944651103593	0.08134296406159477	0.06916343347846175	0.10038224859425372	0.09547984273944676	0.2252021953533511	0.11419459506859436
